urun_grubu,urun,baslik,problem_tarifi,cozum,etiketler,link
Kompanzasyon Ürün Grubu,"RGA , RGSR",RGA/RGSR Serisi Reaktif Güç Kontrol Rölelerinde %END ve %CAP Oranlar Nasıl Hesaplanır?,RGA/RGSR Serisi Reaktif Güç Kontrol Rölelerinde %END ve %CAP Oranlar Nasıl Hesaplanır?,"İlgili Reaktif Güç Kontrol Rölelerinde ana ekran üzerinde % END ve % CAP yüzde cinsinden göstermektedir.
Röle devreye alındığından itibaren, herhangi bir kullanıcı ayarı değişmediği sürece son 10H ( Saat ) baz alınarak hesaplanır.
Bu hesaplama süresi kullanıcı tarafından istendiği takdirde değiştirilebilir.",endüktif;kompanzasyon;rgsr;reaktif;rga;kapasitif,https://destek.entes.com.tr/spaces/SP/pages/983311/RGA+RGSR+Serisi+Reaktif+G%C3%BC%C3%A7+Kontrol+R%C3%B6lelerinde+END+ve+CAP+Oranlar+Nas%C4%B1l+Hesaplan%C4%B1r
Kompanzasyon Ürün Grubu,"ENS.AYS, ENS.CYS, ENT, ENS.CCS, ENS.AYC, ENS.3PH",Akım Trafolarının Gücü Nasıl Belirlenir? Akım Trafosu Seçerken Dikkat Edilmesi Gereken Noktalar Nelerdir?,Akım Trafolarının Gücü Nasıl Belirlenir? Akım Trafosu Seçerken Dikkat Edilmesi Gereken Noktalar Nelerdir?,"Akım trafosu seçiminde önemli noktalardan biri ölçüm yapacak cihazın güç tüketimleri ile birlikte, kablo kaybının da hesaba katılmasıdır.
Kablo güç kaybı ve ölçüm cihazı güç tüketimi verileri, ayrı ayrı üretici firma(lar)dan temin edilir ve toplam değerin bir üstü seçilir.",akım;trafosu,https://destek.entes.com.tr/spaces/SP/pages/983599/Ak%C4%B1m+Trafolar%C4%B1n%C4%B1n+G%C3%BCc%C3%BC+Nas%C4%B1l+Belirlenir+Ak%C4%B1m+Trafosu+Se%C3%A7erken+Dikkat+Edilmesi+Gereken+Noktalar+Nelerdir
Koruma & Kontrol Ürün Grubu,MCB-A,MCB-A Serisi Zaman Rölesinde Enerji Kesilmesi Durumunda Program Çalışmaya Devam Eder mi?,MCB-A Serisi Zaman Rölesinde Enerji Kesilmesi Durumunda Program Çalışmaya Devam Eder mi?,"MCB-A programlanabilir zaman röleleri kendi içerisinde bulunan rezerv sayesinde 100 saate kadar enerji depolaması yapmaktadır.
Yani enerji kesintilerinde dahi süre saymaya devam eder ve böylelikle programı güncel tutar.",mcb-a,https://destek.entes.com.tr/spaces/SP/pages/983544/MCB-A+Serisi+Zaman+R%C3%B6lesinde+Enerji+Kesilmesi+Durumunda+Program+%C3%87al%C4%B1%C5%9Fmaya+Devam+Eder+mi
Kompanzasyon Ürün Grubu,SR-05E - SR-10E - SR-20E - SR-30E,Endüktif Yük Sürücülerine Hangi Tip Şönt Reaktörler Bağlanabilir?,Endüktif Yük Sürücülerine Hangi Tip Şönt Reaktörler Bağlanabilir?,"Endüktif yük sürücüleri, 5 kVAr, 10 kVAr, 20 kVAr ve 30kVAr olmak üzere 4 modelden oluşmaktadır.
Sürücülere bağlanan reaktörler ihtiyaca yetecek kadarı devreye alarak en düşük yüklere çok hızlı cevap vermektedir.
Her bir sürücüye bağlanabilen SVC şönt reaktörlerin miktarı farklıdır. Aşağıda bağlanabilecek maksimum kVAr reaktörlerin bilgileri mevcuttur.
Endüktif yük sürücüleri için monofaze reaktörler bağlanması gerekmektedir.
SR-05E için : Her bir faza 1 adet monofaze  maksimum 1,66 kVAr SVC şönt reaktör bağlanabilir. 3 x 1,66 şeklindedir. Ürün kodu ENT.SRS1.230/1,66
SR-10E için : Her bir faza 1 adet monofaze  maksimum 3,33 kVAr SVC şönt reaktör bağlanabilir. 3 x 3,33 şeklindedir. Ürün kodu ENT.SRS1.230/3,33
SR-20E için : Her bir faza 1 adet monofaze  maksimum 6,66 kVAr SVC şönt reaktör bağlanabilir. 3 x 6,66 şeklindedir. Ürün kodu ENT.SRS1.230/6,66
SR-30E için : Her bir faza 1 adet monofaze  maksimum 10 kVAr SVC şönt reaktör bağlanabilir. 3 x 10 şeklindedir. Ürün kodu ENT.SRS1.230/10
Yukarıda belirtilen listede faz başına bağlanabilecek maksimum kVAr reaktörlerin bilgileri paylaşılmıştır.",sr-05e;svc;sr-30e;sr-20e;sr-10e,https://destek.entes.com.tr/spaces/SP/pages/983250/End%C3%BCktif+Y%C3%BCk+S%C3%BCr%C3%BCc%C3%BClerine+Hangi+Tip+%C5%9E%C3%B6nt+Reakt%C3%B6rler+Ba%C4%9Flanabilir
Kompanzasyon Ürün Grubu,RG3-T,RG3-T Serisi Reaktif Güç Kontrol Rölelerine Monofaza Kondansatör Bağlanabilir mi?,RG3-T Serisi Reaktif Güç Kontrol Rölelerine Monofaza Kondansatör Bağlanabilir mi?,"RG3-T Serisi Reaktif güç kontrol rölelerine monofaze (tek faz) kondansatör bağlanamamaktadır.
Sadece trifaze (üç faz) kondansatör bağlanmaktadır. Monofaze kondansatör bağlandığı zaman röle bunu algılamayacağı için devreye girmeyecektir.
RG3-T reaktif güç kontrol rölesinde, RG-8T reaktif güç kontrol rölesinde olduğu gibi sadece trifaze kondansatör bağlanmalı ve kademe dizilimi küçükten büyüğe doğru olacak şekilde yapılmalıdır.",rg3-8t,https://destek.entes.com.tr/spaces/SP/pages/983205/RG3-T+Serisi+Reaktif+G%C3%BC%C3%A7+Kontrol+R%C3%B6lelerine+Monofaza+Kondansat%C3%B6r+Ba%C4%9Flanabilir+mi
Enerji Verimliliği Ürün Grubu,MPR-25S-22 - MPR-26S-21 - MPR-34S-11 - MPR-34S-20 - MPR-45S - MPR -47S,"MPR-2X, MPR-3X ve MPR-4X Analizörlerde Ekran Ayar Değişikliği Nasıl Yapılır?","MPR-2X, MPR-3X ve MPR-4X Analizörlerde Ekran Ayar Değişikliği Nasıl Yapılır?","MPR-2X, MPR-3X ve MPR-4X Model Analizörlerde ekran ayarı 3 şekilde değiştirebilmektedir. Bunlar;",mpr-34s-11;mpr-25s-22;mpr-34s-20;mpr-45s;mpr-26s-21;mpr,https://destek.entes.com.tr/spaces/SP/pages/983295/MPR-2X+MPR-3X+ve+MPR-4X+Analiz%C3%B6rlerde+Ekran+Ayar+De%C4%9Fi%C5%9Fikli%C4%9Fi+Nas%C4%B1l+Yap%C4%B1l%C4%B1r
Kompanzasyon Ürün Grubu,RGA - RGSR,RGA/RGSR Serisi Reaktif Güç Kontrol Rölelerinde Ekran Aydınlatması Kapatılabilir mi?,RGA/RGSR Serisi Reaktif Güç Kontrol Rölelerinde Ekran Aydınlatması Kapatılabilir mi?,"RGA ve RGSR ürünlerinin tüm modellerinde ekran ışığının ayarları kullanıcı tarafından atanabilmektedir.
Röle menüsü üzerinden Sistem Ayarlarına sonrasında Ekran Ayarları içerisine girilip ayar için 3 şekilde değişiklik yapılabilmektedir. Bunlar;
Ekran ışığı Kapalı, Ekran ışığı Açık ve Ekran ışığı Otomatik değerlerinden birine atanabilir.",rgsr-15s;rgsr-24s-og;rgsr-20s;rgsr-20s-og;rgsr-24s;rga,https://destek.entes.com.tr/spaces/SP/pages/983301/RGA+RGSR+Serisi+Reaktif+G%C3%BC%C3%A7+Kontrol+R%C3%B6lelerinde+Ekran+Ayd%C4%B1nlatmas%C4%B1+Kapat%C4%B1labilir+mi
Koruma & Kontrol Ürün Grubu,DTR-20M - DTR-IR-PROG,DTR IR PROG Yardımıyla DTR-20M Astronomik Zaman Rölesine Nasıl Program Yüklenir?,DTR IR PROG Yardımıyla DTR-20M Astronomik Zaman Rölesine Nasıl Program Yüklenir?,"DTR-20M model astronomik zaman rölesine IR Programlayıcı ile program yüklenmesi için DTR-20M enerji beslemesinin yapılmış olması gerekmektedir.
DTR serisi astronomik zaman rölelerindeki enerji olmadan program yapma özelliği IR ile yükleme yaparken kullanılmamaktadır.
DTR-20M astronomik zaman rölelerinde de ana besleme enerjisi yokken elle programlama yapılabilmektedir fakat programlayıcıdan yükleme yapılamamaktadır.",dtr-ir-prog;dtr-20m,https://destek.entes.com.tr/spaces/SP/pages/983339/DTR+IR+PROG+Yard%C4%B1m%C4%B1yla+DTR-20M+Astronomik+Zaman+R%C3%B6lesine+Nas%C4%B1l+Program+Y%C3%BCklenir
Enerji Verimliliği Ürün Grubu,MPR-1,MPR-1X Serisi Enerji Analizörlerinde Akım Trafo Değerleri Nasıl Değiştirilir?,MPR-1X Serisi Enerji Analizörlerinde Akım Trafo Değerleri Nasıl Değiştirilir?,"Akım trafo değeri Modbus register tablosu kullanılarak değiştirilebilir. Değişiklik yapılacak register adresleri decimal olarak 16385 ve 16386’ dır. (sekonder ve primer değer)
Bu register adreslerine yazma fonksiyonu  ile aşağıdaki şekilde komut gönderilir.
16385  --> 0 veya 1 komutu gönderilir.(0: 1A , 1:5A)
16386  --> 5-9999 arasında bir değer girilerek komut gönderilir.
Örnek olarak, 100/5 bir akım trafosu için register adreslerine,   16385  : 1  ,  16386  : 100   komutu gönderilmelidir.",modbus;mpr-1,https://destek.entes.com.tr/spaces/SP/pages/983464/MPR-1X+Serisi+Enerji+Analiz%C3%B6rlerinde+Ak%C4%B1m+Trafo+De%C4%9Ferleri+Nas%C4%B1l+De%C4%9Fi%C5%9Ftirilir
Koruma & Kontrol Ürün Grubu,DTR-25,DTR-25 Astronomik Zaman Rölesi Özellikleri Nelerdir?,DTR-25 Astronomik Zaman Rölesi Özellikleri Nelerdir?,"DTR-25 astronomik zaman rölesi, şehir adı veya şehrin enlem ve boylam bilgilerine göre, güneşin doğuş ve batış saatlerine ek olarak 5 namaz vaktini de otomatik olarak hesaplayan, haftanın her günü için ayrı ayrı programlanabilen zaman saatidir.
DTR-25 astronomik zaman rölesi, namaz vakitlerine göre sistemlerin ve cihazların otomatik kontrol edilmesine ihtiyaç duyulan camilerin ısıtma ve soğutma sistemlerinde yaygın olarak kullanılır.
Yaz aylarında namaz vakitlerinden önce soğutma sisteminin çalıştırılarak camilerin içinin soğutulmasını ve kış aylarında ise ısıtma sisteminin çalıştırılarak camilerin içinin ısıtılmasını kontrol eder.
Ürün ile ilgili daha fazla bilgi almak için, detaylı şekilde hazırlanmış videoya buraya tıklayarak ulaşabilirsiniz.",dtr;namaz,https://destek.entes.com.tr/spaces/SP/pages/983369/DTR-25+Astronomik+Zaman+R%C3%B6lesi+%C3%96zellikleri+Nelerdir
Enerji Verimliliği Ürün Grubu,EPM-4X,EPM-4X Serisi Ampermetrelerde Akım Trafosu Kullanmadan Bağlantı Yapılır mı?,EPM-4X Serisi Ampermetrelerde Akım Trafosu Kullanmadan Bağlantı Yapılır mı?,"EPM-4X Serisi ampermetreler, akım trafosuz olarak 5 Amper' e kadar kullanılabilir.
Cihaz besleme girişi bağlantısı Faz - Nötr olarak yapılır.
Akım klemenslerinden 3. klemense enerji kablosu girilir ve 5. klemensten çıkılıp yüke besleme verilir.
Menü Ayarında ""Ctr Menüsü"" ( Akım Trafosu ) 005 ayarlanılarak ""SET"" tuşuna basılır. ""Trn"" menüsü ayarı ise 1 yapılarak ""SET"" tuşuna basılır ve ayarlar kayıt edilir.",amper;epm-4c;ampermetre;epm,https://destek.entes.com.tr/spaces/SP/pages/983355/EPM-4X+Serisi+Ampermetrelerde+Ak%C4%B1m+Trafosu+Kullanmadan+Ba%C4%9Flant%C4%B1+Yap%C4%B1l%C4%B1r+m%C4%B1
Enerji Yönetimi Ürün Grubu,"Enerji Doktoru, Enerthings, Enermedic","Enerji Doktoru ile Su, Doğalgaz, Sıcaklık, Nem vb. Diğer Kaynaklar da İzlenebilir mi?","Sistemde elektrik enerjisi dışında su, doğalgaz, sıcaklık, nem vb. gibi diğer tüketimleri de izleme ve kayıt etme şansı var mıdır?","Sistemde mevcut veya yeni dahil edilecek dijital girişli ENTES marka analizör ürünleri olması durumunda, diğer tüketim kaynaklarının sayaçlarından gelecek pulse bilgileri okunarak tüketim takibi ve kayıtları gerçekleştirilebilir. Sıcaklık ve nem gibi ölçümler için ENTES’ in desteklediği marka ve model ürünler tercih edilmesi gereklidir. Detay için ENTES ile iletişime geçerek destek alabilirsiniz.",buhar;nem;su;enermedic;sıcaklık;kalorimetre;doğalgaz;enerthings;enerjidoktoru,https://destek.entes.com.tr/spaces/SP/pages/983402/Enerji+Doktoru+ile+Su+Do%C4%9Falgaz+S%C4%B1cakl%C4%B1k+Nem+vb.+Di%C4%9Fer+Kaynaklar+da+%C4%B0zlenebilir+mi
Enerji Yönetimi Ürün Grubu,"Enerji Doktoru, Enerthings, Enermedic",Enerji Doktoru' nda Donanımların Farklı Parametreleri İçin Özel Alarmlar Oluşturulabilir mi?,Cihazların farklı farklı parametreleri için özel alarmlar ve bilgilendirmeler yapılabilir mi?,"Kullanıcı alarmları bölümünden cihazların desteklediği tetikleme senaryolarında bulunan tüm parametreler için alarmlar oluşturulabilir. Bu alarmlar, organizasyon, tesis, kat ve bölüm temelinde oluşturulabilir veya tamamen kişisel bir yapılandırma da sağlanabilir. Aşırı yoğun bilgilendirme olmaması adına alarmların aktif, pasif devamlılığı ve hassasiyetleri ayrıca yönetilebilmektedir.",bilgilendirme;enermedic;enerjidoktoru;enerthings;alarm,https://destek.entes.com.tr/spaces/SP/pages/983421/Enerji+Doktoru+nda+Donan%C4%B1mlar%C4%B1n+Farkl%C4%B1+Parametreleri+%C4%B0%C3%A7in+%C3%96zel+Alarmlar+Olu%C5%9Fturulabilir+mi
Kompanzasyon Ürün Grubu,RGP,RGP Serisi Güç Kontrol Rölelerinde Smiley Özelliği (Gülen Surat) Nasıl Devre Dışı Bırakılır?,RGP Serisi Güç Kontrol Rölelerinde Smiley Özelliği ( Gülen Surat & Ağlayan Surat ) Nasıl Devre Dışı Bırakılır?,"Ana ekranda ""↓"" tuşu yardımıyla ""Ayarlar"" menüsüne gelinir ve ""√"" tuşana basılarak menüye giriş yapılır.
""↓"" tuşu yardımıyla ""Kullanıcı menüsü"" bulunur ve ""√"" tuşana basılarak menüye giriş yapılır.
""↓"" tuşu yardımıyla “Kul.Surat” bulunur ve ""√"" tuşana basılır. Ekranda “Smiley Evet” yazısı yanıp söner.
""↓"" tuşu yardımıyla ""Hayır"" bulunur ve ""√"" tuşana basılarak smiley modu kapatılmış olur.
Daha sonra % Home tuşuna ard arda basılır ve akranda “kaydet EVET!” yazısı görülür. ""√"" tuşana basılarak yapılan değişiklik kaydedilmiş olur.",serisi;rgp-12s;rgp;kontrol;rölesi;rgp-15sr;reaktif;güç,https://destek.entes.com.tr/spaces/SP/pages/983521/RGP+Serisi+G%C3%BC%C3%A7+Kontrol+R%C3%B6lelerinde+Smiley+%C3%96zelli%C4%9Fi+G%C3%BClen+Surat+Nas%C4%B1l+Devre+D%C4%B1%C5%9F%C4%B1+B%C4%B1rak%C4%B1l%C4%B1r
Enerji Yönetimi Ürün Grubu,"Emg-12, EMG-02, GEM-05, GEM-10, GEM-10SH",EMG Serisi Modemlerin Güncel Firmware Dosyası Nasıl Kurulur?,EMG Serisi Modemlerin Güncel Firmware Dosyası Nasıl Kurulur?,"Firmware güncelleme işlemi, üretim tarihi 2017 ve sonrası olan cihazlar için teknik servisimiz tarafından yapılmaktadır.
Cihaz üretim tarihini, cihazın seri numarasından öğrenebilirsiniz. (İlk 6 rakam cihaz üretim tarihini ifade etmektedir.)",gem-10;gem;emg-02;gem-05;emg-12,https://destek.entes.com.tr/spaces/SP/pages/983378/EMG+Serisi+Modemlerin+G%C3%BCncel+Firmware+Dosyas%C4%B1+Nas%C4%B1l+Kurulur
Enerji Yönetimi Ürün Grubu,EMG,Modbus Haberleştirmelerde Hat Sonlandırma Direnci Nasıl Uygulanır?,Modbus Haberleştirmelerde Hat Sonlandırma Direnci Nasıl Uygulanır?,"Hattın sonunda bulunan son cihazda A(+) klemensi ile B(-) klemensi arasında 120 ohm hat sonlandırma direnci takılır, TR klemensi ile A(+) klemensi de kısa derve edilerek hat dengeleme işlemi yapılmış olur.",emg,https://destek.entes.com.tr/spaces/SP/pages/983364/Modbus+Haberle%C5%9Ftirmelerde+Hat+Sonland%C4%B1rma+Direnci+Nas%C4%B1l+Uygulan%C4%B1r
Kompanzasyon Ürün Grubu,SR-30E,30 kVAr Endüktif Yük Sürücüsüne Hangi Kapasitede Şönt Reaktörler Bağlanabilir?,"SR-30E endüktif yük sürücü satın aldım, ancak elimde 6,66 kVAr 3 adet monofaze şönt reaktör mevcuttur. Bu şöntleri, 30 kVAR sürücü ile entegre edebilir miyim?","30 kVAR endüktif yük sürücüleri, her faz için maksimum 10 kVAr şönt bağlanabilecek şekilde dizayn edilmiştir. Bu bağlamda sürücüye 3 adet 10 kVAr güce kadar monofaze şönt reaktör bağlanabilir.",reaktör;şönt;rgsr;rg,https://destek.entes.com.tr/spaces/SP/pages/983151/30+kVAr+End%C3%BCktif+Y%C3%BCk+S%C3%BCr%C3%BCc%C3%BCs%C3%BCne+Hangi+Kapasitede+%C5%9E%C3%B6nt+Reakt%C3%B6rler+Ba%C4%9Flanabilir
Kompanzasyon Ürün Grubu,RG-T,"C/k Değeri Nedir, Nasıl hesaplanır?","RG-T Serisi Reaktif Güç Kontrol Rölelerinde devreye alırken, cihaza C/k değeri girilmesi gerekiyor, bu nedir? Nasıl hesaplanır?","C/k değeri, reaktif güç kontrol rölelerinin, bir kondansatör kademesi devreye alıp çıkartabileceği reaktif akım eşik değeridir.
C/k değeri ilk kondansatör gücünün kVAr cinsinden değeri (C) , akım trafosu (k) değerine oranıdır.
Bu değeri RG-T otomatik olarak tanımlayabildiği gibi kullanıcılar tarafından manuel röleye tanımlayabilmektedir.
Örnek: C=1. kademe kondansatör gücü / k=akım trafosu dönüştürme oranı
C : 5 kVAr
k: 150/5 = 30
C/k =5/30= 0,17 olarak bulunur .",No labels,https://destek.entes.com.tr/spaces/SP/pages/983399/C+k+De%C4%9Feri+Nedir+Nas%C4%B1l+hesaplan%C4%B1r
Koruma & Kontrol Ürün Grubu,DTR,DTR Serisi Astronomik Zaman Rölelerinde Çıkış Kontakları Manuel Olarak Devreye Alıp Çıkarma İşlemleri Nasıl Yapılır?,DTR Serisi Astronomik Zaman Rölelerinde Çıkış Kontakları Manuel Olarak Devreye Alıp Çıkarma İşlemleri Nasıl Yapılır?,"DTR Serisi Astronomik Zaman Rölelerinin manuel kontaklarını devreye alma ve çıkarma esnasında gecikme süresi tanımlanmıştır.
DTR ürünlerinde kontak çıkışlarını manuel olarak kullanmak için ekranın izleme menüsünde olması gerekir.
""Aşağı"" tuşu ""C1"" kontağını, ""yukarı"" tuşu ""C2"" kontağını manuel konuma alıp çıkartmak için kullanılır. ""Aşağı"" tuşuna ""3sn"" basılınca ekranda ""manuel"" yazısının çıktığı görülür.
""Manuel"" yazısı çıkınca ""aşağı"" tuşuna (C1 kontağı için) bir kez  basıp bırakılır ve gecikme süresi devreye girer, ekranda C1 rölesinin aktif olduğunu gösteren sembol yanıp yanıp sönmeye başlar ve süre sonunda sembol tamamen yanar, C1 kontağı devreye girer.
Devreden çıkartmak için; yine aynı şekilde ""aşağı"" tuşuna bir kez  basıp bırakılır ve gecikme süresi devreye girip ekranda C1 rölesinin aktif olduğunu gösteren sembol yanıp yanıp sönmeye başlar ve süre sonunda sembol tamamen söner, C1 kontağı devreden çıkar.
Aynı işlemler C2 kontağı için de geçerlidir.",dtr,https://destek.entes.com.tr/spaces/SP/pages/983502/DTR+Serisi+Astronomik+Zaman+R%C3%B6lelerinde+%C3%87%C4%B1k%C4%B1%C5%9F+Kontaklar%C4%B1+Manuel+Olarak+Devreye+Al%C4%B1p+%C3%87%C4%B1karma+%C4%B0%C5%9Flemleri+Nas%C4%B1l+Yap%C4%B1l%C4%B1r
Kompanzasyon Ürün Grubu,ENT.ERH Harmonik Filtreler,50 kVAr Harmonik Filtre İçin Uygun Kondansatör Hangisidir?,50 kVAr Harmonik Filtre İçin Uygun Kondansatör Hangisidir?,"Harmonik filtre grubuna bir üst değerde kondansatör grubu bağlanması gerekmektedir.
Bu şekilde düşünüldüğünde 50 kVAR harmonik filtre için 2 x 30 kVAR kondansatör grubu bağlanması uygun olacaktır.
50 kVAr altında kondansatör bağlanması durumunda sistem rezonansa girecektir.",harmonik;filtre,https://destek.entes.com.tr/spaces/SP/pages/983445/50+kVAr+Harmonik+Filtre+%C4%B0%C3%A7in+Uygun+Kondansat%C3%B6r+Hangisidir
Kompanzasyon Ürün Grubu,RG,ENTES Reaktif Güç Kontrol Rölesi Seçiminde Nelere Dikkat Edilmelidir?,ENTES Reaktif Güç Kontrol Rölesi Seçiminde Nelere Dikkat Edilmelidir?,"Reaktif Güç Kontrol Röleleri, kompanzasyon sisteminin merkezindedir ve tüm diğer ekipmanları kontrol eder. Kompanzasyon kontaktörleri aracılığı ile kondansatörleri devreye alıp devreden çıkararak veya şönt reaktör / endüktif yük sürücülerini kullanarak reaktif gücü sürekli kontrol altında tutar. Sisteme bağlı harmonik filtreler ile şebekedeki harmonik dalgalanmaların önüne geçer.
Reaktif Güç Kontrol Rölesi seçiminde; kompanzasyon algoritmasının yetenekleri, sahip olduğu kademe sayısı, desteklediği faz sayısı, dengesiz yükleri yönetme yeteneği, devreye girme ve devreden çıkma hızı, ölçebildiği elektriksel değerler ve sahip olduğu ek yetenekler (ekran tipi, farklı modlarda çalışma, ölçüm hassasiyeti vb.) özelliklere dikkat edilmelidir.
ENTES, farklı ihtiyaçlara ve işletme yapılarına uygun olarak yukarıda belirtilen özelliklere göre segmente edilmiş reaktif güç kontrol rölesi serilerine sahiptir. RGA, RGSR, RGP, RG3 veya RG serisi reaktif güç kontrol rölesi seçiminiz için web sitemizdeki teknik özellik tablolarını inceleyebilir veya daha detaylı bilgi için 0850 888 84 25 Teknik Destek Çağrı Merkezi numarasından bizimle irtibata geçebilirsiniz.",rg,https://destek.entes.com.tr/spaces/SP/pages/983374/ENTES+Reaktif+G%C3%BC%C3%A7+Kontrol+R%C3%B6lesi+Se%C3%A7iminde+Nelere+Dikkat+Edilmelidir
Kompanzasyon Ürün Grubu,SR,Endüktif Yük Sürücüleri (SVC) Nedir?,Endüktif Yük Sürücüleri (SVC) Nedir?,"Endüktif yük sürücülerinde sürülen şönt reaktörler, güçleri tristörler vasıtasıyla belirli açılarda tetikleyerek, adımları ayarlanabilir ve benzersiz bir hızda devreye alınabilir.
ENTES Endüktif Yük Sürücüleri 3 adet monofaze şönt reaktörü sürecek şekilde geliştirilmiştir ve her biri ayrı bir faza bağlı olan bu reaktörlerin güçleri bağımsız ve istenilen gücü sağlayacak şekilde ayrı ayrı kontrol edilebilmektedir.
Özel soğutucu tasarımı sayesinde ısınma olmadan rahatlıkla çalışmaktadır.",svc,https://destek.entes.com.tr/spaces/SP/pages/983340/End%C3%BCktif+Y%C3%BCk+S%C3%BCr%C3%BCc%C3%BCleri+SVC+Nedir
Koruma & Kontrol Ürün Grubu,Kumanda Trafoları,Kumanda Trafoları 230V Girişli mi? 400V Giriş Gerilimine Sahip Ürün Var mıdır?,Kumanda Trafoları 230V Girişli mi? Yoksa 400V Giriş Gerilimine Sahip Ürün Var mıdır?,"ENTES kumanda trafoları, 24 VAC çıkış gerilimi ile cihazların güvenli çalışmasını sağlarlar.
230V veya 400V sabit girişli seçeneklerin yanı sıra alternatif giriş gerilimli (400; 230±15) seçenekleri de bulunmaktadır.
Kumanda trafoları 50 °C ortam sıcaklığında sürekli çalışmaları için tasarlanmıştır.
Tüm ENTES kumanda trafoları EN standartlarıyla uyumludur.",kumanda;trafosu;koruma;kontrol,https://destek.entes.com.tr/spaces/SP/pages/983213/Kumanda+Trafolar%C4%B1+230V+Giri%C5%9Fli+mi+400V+Giri%C5%9F+Gerilimine+Sahip+%C3%9Cr%C3%BCn+Var+m%C4%B1d%C4%B1r
